"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","29885824"
"0","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","15.41"
"0","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","647168"
"0","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","1638400"
"0","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","66.84"
"0","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"1","16160","python3.11","127.0.0.1","fmha_cutlassF_f16_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::Sm80, 1, 64, 128, 128, 1, 1>::Params)","1","7","(32, 8, 1)","(2, 40, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","4620160"
"1","16160","python3.11","127.0.0.1","fmha_cutlassF_f16_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::Sm80, 1, 64, 128, 128, 1, 1>::Params)","1","7","(32, 8, 1)","(2, 40, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","29.78"
"1","16160","python3.11","127.0.0.1","fmha_cutlassF_f16_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::Sm80, 1, 64, 128, 128, 1, 1>::Params)","1","7","(32, 8, 1)","(2, 40, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","51872"
"1","16160","python3.11","127.0.0.1","fmha_cutlassF_f16_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::Sm80, 1, 64, 128, 128, 1, 1>::Params)","1","7","(32, 8, 1)","(2, 40, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","163840"
"1","16160","python3.11","127.0.0.1","fmha_cutlassF_f16_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::Sm80, 1, 64, 128, 128, 1, 1>::Params)","1","7","(32, 8, 1)","(2, 40, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","14.37"
"1","16160","python3.11","127.0.0.1","fmha_cutlassF_f16_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::Sm80, 1, 64, 128, 128, 1, 1>::Params)","1","7","(32, 8, 1)","(2, 40, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","163840"
"2","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","29907584"
"2","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","15.44"
"2","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","646528"
"2","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","1638400"
"2","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","66.78"
"2","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"3","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","77149824"
"3","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","14.83"
"3","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","1735552"
"3","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","4423680"
"3","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","67.34"
"3","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"4","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","76995584"
"4","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","14.76"
"4","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","1740192"
"4","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","4423680"
"4","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","67.35"
"4","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(1728, 8, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"5","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","79411712"
"5","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","16.63"
"5","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","1592928"
"5","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","4423680"
"5","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","69.63"
"5","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"6","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","29802496"
"6","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","15.36"
"6","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","647360"
"6","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","1638400"
"6","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","66.71"
"6","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"7","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","29845376"
"7","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","15.40"
"7","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","646784"
"7","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","1638400"
"7","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","66.87"
"7","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"8","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","29809280"
"8","16160","python3.11","127.0.0.1","awq_gemm_kernel","1","7","(128, 1, 1)","(640, 8, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","15.54"
