model_name,quant_method,precision,tokens_per_second,accuracy,ece,config_label
llama1-7b,awq,4bit,350.03353049036446,0.6489927172660828,0.20996167945643474,llama1-7b awq 4bit
llama1-7b,fp16,16bit,549.4961439958598,0.653616189956665,0.21050605835182634,llama1-7b fp16 16bit
llama1-7b,gptq,4bit,1849.1658359082242,0.6394810477892557,0.20599521702570653,llama1-7b gptq 4bit
llama1-7b,gptq,8bit,1721.863788376484,0.6534725824991862,0.20726910078015834,llama1-7b gptq 8bit
llama1-7b,nf4,4bit,324.64614307273916,0.6426100532213846,0.20798530766100085,llama1-7b nf4 4bit
llama2-13b,awq,4bit,413.2759090755441,0.6645020941893259,0.2444199222625374,llama2-13b awq 4bit
llama2-13b,fp16,16bit,823.4093790550768,0.6699876089890798,0.24166891797519233,llama2-13b fp16 16bit
llama2-13b,gptq,4bit,960.7871681852649,0.664279838403066,0.2369280803448813,llama2-13b gptq 4bit
llama2-13b,gptq,8bit,372.60738550353835,0.6709066033363342,0.24059444787479575,llama2-13b gptq 8bit
llama2-13b,nf4,4bit,318.62158440689535,0.6642749905586243,0.24529879846825628,llama2-13b nf4 4bit
mistral-7b,awq,4bit,529.2121345165675,0.665504644314448,0.16792597614096896,mistral-7b awq 4bit
mistral-7b,fp16,16bit,966.1188970102086,0.6736098527908325,0.21634566737543817,mistral-7b fp16 16bit
mistral-7b,gptq,4bit,434.6575483673044,0.6661032338937124,0.17277415038099664,mistral-7b gptq 4bit
mistral-7b,gptq,8bit,434.7506452751815,0.6526117622852325,0.18034082680182148,mistral-7b gptq 8bit
mistral-7b,nf4,4bit,341.82260803730225,0.6646524667739868,0.22450326963076705,mistral-7b nf4 4bit
