threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.01,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.02,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.03,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.04,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.05,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.06,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.07,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.08,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.09,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.1,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.11,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.12,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.13,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.14,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.15,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.16,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.17,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.18,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.19,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.2,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.21,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.22,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.23,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.24,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.25,1.0,0.0,0.7328221,0.30396508397725536,671.840450488641,-82.59534450190233,0.73949414,llama1-7b,awq,4bit,hellaswag
0.26,0.9998008364867557,0.00019916351324433812,0.7327226,0.30386307423059217,671.9009819171126,-82.57889452291369,0.73949414,llama1-7b,awq,4bit,hellaswag
0.27,0.9981079466241785,0.0018920533758215452,0.7328221,0.30395173164946315,672.4159397874361,-82.43906970151038,0.73949414,llama1-7b,awq,4bit,hellaswag
0.28,0.9916351324437364,0.008364867556263644,0.7335192,0.30463809586039003,674.3921966726201,-81.90444538437995,0.73949414,llama1-7b,awq,4bit,hellaswag
0.29,0.9798844851623183,0.020115514837681703,0.73411673,0.30521116559010675,678.0097084969314,-80.93389662405089,0.73949414,llama1-7b,awq,4bit,hellaswag
0.3,0.9632543318064131,0.03674566819358693,0.7347142,0.30575245795699135,683.1962440204376,-79.56032337850041,0.73949414,llama1-7b,awq,4bit,hellaswag
0.31,0.9375622385978889,0.0624377614021111,0.7354113,0.30640672906132194,691.3668302648384,-77.4382760889674,0.73949414,llama1-7b,awq,4bit,hellaswag
0.32,0.9060944035052778,0.09390559649472219,0.7358096,0.30675549064706314,701.6444421789442,-74.83917940876412,0.73949414,llama1-7b,awq,4bit,hellaswag
0.33,0.869448317068313,0.13055168293168695,0.73670584,0.3075930403448675,714.0052199324751,-71.81238327485656,0.73949414,llama1-7b,awq,4bit,hellaswag
0.34,0.8292172873929496,0.17078271260705036,0.7374029,0.3082208517947013,728.0866023961355,-68.48948751915367,0.73949414,llama1-7b,awq,4bit,hellaswag
0.35000000000000003,0.7863971320454093,0.2136028679545907,0.7389962,0.3097572467391696,743.6974796094532,-64.95274203659858,0.73949414,llama1-7b,awq,4bit,hellaswag
0.36,0.741485759808803,0.25851424019119695,0.7390958,0.3097781133595939,760.8065574278634,-61.24327177466291,0.73949414,llama1-7b,awq,4bit,hellaswag
0.37,0.6940848436566421,0.30591515634335786,0.73949414,0.3100868858852559,779.7391479495752,-57.328176775369364,0.73949414,llama1-7b,awq,4bit,hellaswag
0.38,0.644991037641904,0.355008962358096,0.73929495,0.3097927224657445,800.3675327625177,-53.27325695467253,0.73949414,llama1-7b,awq,4bit,hellaswag
0.39,0.6025692093208525,0.39743079067914755,0.73929495,0.3097311020924308,819.0920785219586,-49.76941143009472,0.73949414,llama1-7b,awq,4bit,hellaswag
0.4,0.5565624377614021,0.44343756223859787,0.73929495,0.3096470480283592,840.4150650852059,-45.9694662837216,0.73949414,llama1-7b,awq,4bit,hellaswag
0.41000000000000003,0.5140410276837284,0.4859589723162716,0.73949414,0.3098031279160382,861.1342208280248,-42.457395769649466,0.73949414,llama1-7b,awq,4bit,hellaswag
0.42,0.47171878111929894,0.5282812188807011,0.7397929,0.30998013779785116,882.7962819287008,-38.96177523456596,0.73949414,llama1-7b,awq,4bit,hellaswag
0.43,0.42850029874526985,0.5714997012547302,0.7396933,0.30976750575090584,906.071414150194,-35.392129794033636,0.73949414,llama1-7b,awq,4bit,hellaswag
0.44,0.3903604859589723,0.6096395140410277,0.73949414,0.30950383380800334,927.6551829997292,-32.24195881771135,0.73949414,llama1-7b,awq,4bit,hellaswag
0.45,0.3556064528978291,0.6443935471021709,0.7395937,0.30952659130001464,948.2381961031615,-29.371437484195706,0.73949414,llama1-7b,awq,4bit,hellaswag
0.46,0.3212507468631747,0.6787492531368253,0.73949414,0.3093800945120298,969.503191162298,-26.533816108657327,0.73949414,llama1-7b,awq,4bit,hellaswag
0.47000000000000003,0.2907787293367855,0.7092212706632145,0.73949414,0.3092985100371978,989.1786517326433,-24.01696932339723,0.73949414,llama1-7b,awq,4bit,hellaswag
0.48,0.26000796654052977,0.7399920334594703,0.73949414,0.3091803108392258,1009.8743487810135,-21.47544756965416,0.73949414,llama1-7b,awq,4bit,hellaswag
0.49,0.23142800238996217,0.7685719976100378,0.73949414,0.3091191607769493,1029.887643378065,-19.114875584785995,0.73949414,llama1-7b,awq,4bit,hellaswag
