threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.01,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.02,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.03,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.04,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.05,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.06,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.07,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.08,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.09,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.1,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.11,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.12,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.13,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.14,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.15,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.16,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.17,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.18,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.19,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.2,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.21,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.22,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.23,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.24,1.0,0.0,0.6860232,0.08232046355340984,68.12719491133483,52.88610568647288,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.25,0.9999442710655372,5.572893446281757e-05,0.6860232,0.08232042274130173,68.12293337039502,52.88315840015508,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.26,0.9998885421310745,0.00011145786892552412,0.6860232,0.08232043897446596,68.11867236256379,52.88021111383729,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.27,0.9996098974587606,0.0003901025412393899,0.6860232,0.08230612018260636,68.09737531653575,52.86547468224833,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.28,0.9992197949175212,0.0007802050824787798,0.6860232,0.08230629387447413,68.06758181467048,52.84484367802379,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.29,0.9987182345073562,0.001281765492643805,0.6860232,0.08230645488407853,68.02931416925291,52.818318101163655,0.6853544,llama1-7b,gptq,8bit,triviaqa
0.3,0.9973807400802497,0.0026192599197503164,0.6860232,0.08230658032820526,67.92747715998391,52.74758322953663,0.6853544,llama1-7b,gptq,8bit,triviaqa
