threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.01,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.02,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.03,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.04,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.05,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.06,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.07,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.08,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.09,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.1,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.11,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.12,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.13,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.14,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.15,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.16,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.17,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.18,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.19,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.2,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.21,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.22,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.23,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.24,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.25,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.26,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.27,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.28,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.29,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.3,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.31,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.32,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.33,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.34,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.35000000000000003,1.0,0.0,0.532,0.2468687032461166,221.54788041206623,-75.87244417807342,0.536,llama1-7b,nf4,4bit,pubmedqa
0.36,0.999,0.0010000000000000009,0.533,0.24786991071701048,221.64349876812142,-75.79657173389533,0.536,llama1-7b,nf4,4bit,pubmedqa
0.37,0.999,0.0010000000000000009,0.533,0.24786991071701048,221.64349876812142,-75.79657173389533,0.536,llama1-7b,nf4,4bit,pubmedqa
0.38,0.997,0.0030000000000000027,0.532,0.24649262285232543,221.8349833030176,-75.6448268455392,0.536,llama1-7b,nf4,4bit,pubmedqa
0.39,0.996,0.0040000000000000036,0.532,0.24735737407207486,221.9308496960527,-75.56895440136111,0.536,llama1-7b,nf4,4bit,pubmedqa
0.4,0.996,0.0040000000000000036,0.532,0.24735737407207486,221.9308496960527,-75.56895440136111,0.536,llama1-7b,nf4,4bit,pubmedqa
0.41000000000000003,0.996,0.0040000000000000036,0.532,0.24735737407207486,221.9308496960527,-75.56895440136111,0.536,llama1-7b,nf4,4bit,pubmedqa
0.42,0.996,0.0040000000000000036,0.532,0.24735737407207486,221.9308496960527,-75.56895440136111,0.536,llama1-7b,nf4,4bit,pubmedqa
0.43,0.994,0.006000000000000005,0.532,0.24864333283901213,222.12283127017193,-75.41720951300496,0.536,llama1-7b,nf4,4bit,pubmedqa
0.44,0.992,0.008000000000000007,0.534,0.24698151782155037,222.31514527969247,-75.26546462464883,0.536,llama1-7b,nf4,4bit,pubmedqa
0.45,0.989,0.01100000000000001,0.536,0.24794251760840413,222.60424150164312,-75.0378472921146,0.536,llama1-7b,nf4,4bit,pubmedqa
0.46,0.984,0.016000000000000014,0.535,0.24579761481285095,223.0877430011622,-74.65848507122426,0.536,llama1-7b,nf4,4bit,pubmedqa
