threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.01,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.02,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.03,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.04,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.05,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.06,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.07,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.08,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.09,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.1,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.11,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.12,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.13,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.14,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.15,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.16,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.17,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.18,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.19,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.2,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.21,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.22,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
0.23,1.0,0.0,0.775,0.3368202327191829,921.5273883784209,-106.80922163056752,0.775,llama2-13b,4bit,awq,hellaswag
