threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.01,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.02,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.03,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.04,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.05,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.06,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.07,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.08,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.09,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.1,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.11,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.12,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.13,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.14,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.15,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.16,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.17,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.18,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.19,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.2,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.21,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.22,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.23,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.24,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.25,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.26,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.27,1.0,0.0,0.752,0.16465327832102775,22.726122745841206,-73.61114781715068,0.767,llama2-13b,4bit,awq,triviaqa
0.28,0.998,0.0020000000000000018,0.752,0.16440121918916703,22.745410859790262,-73.46392552151639,0.767,llama2-13b,4bit,awq,triviaqa
0.29,0.998,0.0020000000000000018,0.752,0.16440121918916703,22.745410859790262,-73.46392552151639,0.767,llama2-13b,4bit,awq,triviaqa
0.3,0.998,0.0020000000000000018,0.752,0.16440121918916703,22.745410859790262,-73.46392552151639,0.767,llama2-13b,4bit,awq,triviaqa
0.31,0.997,0.0030000000000000027,0.752,0.16440239641070364,22.755067199632595,-73.39031437369925,0.767,llama2-13b,4bit,awq,triviaqa
0.32,0.995,0.0050000000000000044,0.752,0.16427967023849488,22.7744044972429,-73.24309207806492,0.767,llama2-13b,4bit,awq,triviaqa
0.33,0.991,0.009000000000000008,0.753,0.1650326836705208,22.813177857549686,-72.94864748679632,0.767,llama2-13b,4bit,awq,triviaqa
0.34,0.987,0.013000000000000012,0.751,0.16263929229974744,22.85208346608485,-72.6542028955277,0.767,llama2-13b,4bit,awq,triviaqa
0.35000000000000003,0.985,0.015000000000000013,0.751,0.16261910456418993,22.871586075058726,-72.50698059989342,0.767,llama2-13b,4bit,awq,triviaqa
0.36,0.977,0.02300000000000002,0.752,0.16328163614869118,22.949930532678216,-71.91809141735621,0.767,llama2-13b,4bit,awq,triviaqa
0.37,0.973,0.027000000000000024,0.752,0.16290993255376818,22.98930437795132,-71.62364682608764,0.767,llama2-13b,4bit,awq,triviaqa
0.38,0.968,0.03200000000000003,0.751,0.16185724103450777,23.03871208114039,-71.25559108700186,0.767,llama2-13b,4bit,awq,triviaqa
0.39,0.962,0.038000000000000034,0.751,0.1615190377831459,23.09828237841434,-70.81392420009894,0.767,llama2-13b,4bit,awq,triviaqa
0.4,0.951,0.049000000000000044,0.751,0.1608351495862007,23.208298493840307,-70.0042015741103,0.767,llama2-13b,4bit,awq,triviaqa
0.41000000000000003,0.934,0.06599999999999995,0.753,0.1634691031873226,23.38040004872706,-68.75281206121878,0.767,llama2-13b,4bit,awq,triviaqa
0.42,0.923,0.07699999999999996,0.754,0.1634920457005501,23.493126562141732,-67.94308943523006,0.767,llama2-13b,4bit,awq,triviaqa
0.43,0.914,0.08599999999999997,0.754,0.16245344614982604,23.586169061524117,-67.28058910487572,0.767,llama2-13b,4bit,awq,triviaqa
0.44,0.885,0.11499999999999999,0.753,0.16112490388751027,23.891050713209243,-65.14586581817836,0.767,llama2-13b,4bit,awq,triviaqa
0.45,0.869,0.131,0.753,0.16038999161124226,24.062659488343375,-63.96808745310394,0.767,llama2-13b,4bit,awq,triviaqa
0.46,0.84,0.16000000000000003,0.753,0.15888733452558515,24.380066963706845,-61.83336416640657,0.767,llama2-13b,4bit,awq,triviaqa
0.47000000000000003,0.812,0.18799999999999994,0.754,0.15871249604225154,24.694577470556002,-59.77225202752636,0.767,llama2-13b,4bit,awq,triviaqa
0.48,0.788,0.21199999999999997,0.755,0.15900302577018735,24.970688652086793,-58.00558447991475,0.767,llama2-13b,4bit,awq,triviaqa
0.49,0.766,0.23399999999999999,0.754,0.1569973582625389,25.22927079610459,-56.38613922793743,0.767,llama2-13b,4bit,awq,triviaqa
0.5,0.743,0.257,0.754,0.15634043309092524,25.50539547862156,-54.69308282814298,0.767,llama2-13b,4bit,awq,triviaqa
0.51,0.721,0.279,0.755,0.15606219109892844,25.77523026050623,-53.07363757616563,0.767,llama2-13b,4bit,awq,triviaqa
0.52,0.7,0.30000000000000004,0.755,0.15524297702312473,26.038180221281134,-51.52780347200547,0.767,llama2-13b,4bit,awq,triviaqa
0.53,0.671,0.32899999999999996,0.754,0.15291203904151915,26.410247719940674,-49.3930801853081,0.767,llama2-13b,4bit,awq,triviaqa
0.54,0.649,0.351,0.755,0.15359070903062821,26.699676550008355,-47.7736349333308,0.767,llama2-13b,4bit,awq,triviaqa
0.55,0.625,0.375,0.756,0.15387118422985077,27.022739571843577,-46.006967385719165,0.767,llama2-13b,4bit,awq,triviaqa
0.56,0.607,0.393,0.756,0.15375346899032594,27.270214420280666,-44.681966725010454,0.767,llama2-13b,4bit,awq,triviaqa
0.5700000000000001,0.584,0.41600000000000004,0.756,0.15316791588068007,27.593106670756693,-42.98891032521597,0.767,llama2-13b,4bit,awq,triviaqa
0.58,0.547,0.45299999999999996,0.758,0.1543935145139694,28.12889799293074,-40.26529785598141,0.767,llama2-13b,4bit,awq,triviaqa
0.59,0.524,0.476,0.759,0.15491799145936966,28.472572961781946,-38.57224145618696,0.767,llama2-13b,4bit,awq,triviaqa
0.6,0.506,0.494,0.759,0.15463414442539214,28.747450458537283,-37.247240795478234,0.767,llama2-13b,4bit,awq,triviaqa
0.61,0.485,0.515,0.759,0.1536195688843727,29.074925246087183,-35.70140669131807,0.767,llama2-13b,4bit,awq,triviaqa
0.62,0.471,0.529,0.76,0.1548413838148117,29.297418388014403,-34.67085062187796,0.767,llama2-13b,4bit,awq,triviaqa
0.63,0.437,0.563,0.761,0.1557892237007618,29.852204149549877,-32.16807159609485,0.767,llama2-13b,4bit,awq,triviaqa
0.64,0.411,0.589,0.761,0.1548597782552242,30.290837516643887,-30.25418175284893,0.767,llama2-13b,4bit,awq,triviaqa
0.65,0.39,0.61,0.761,0.154424722135067,30.654641500862613,-28.708347648688772,0.767,llama2-13b,4bit,awq,triviaqa
0.66,0.373,0.627,0.762,0.15541379338502886,30.95561288333323,-27.456958135797205,0.767,llama2-13b,4bit,awq,triviaqa
0.67,0.345,0.655,0.761,0.15406123596429824,31.46442550765161,-25.395845996916975,0.767,llama2-13b,4bit,awq,triviaqa
0.68,0.316,0.6839999999999999,0.762,0.1550371996164322,32.0093486785337,-23.261122710219606,0.767,llama2-13b,4bit,awq,triviaqa
