threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.01,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.02,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.03,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.04,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.05,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.06,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.07,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.08,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.09,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.1,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.11,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.12,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.13,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.14,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.15,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.16,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.17,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.18,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.19,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.2,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.21,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.22,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.23,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.24,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.25,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.26,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.27,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.28,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.29,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.3,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.31,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.32,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.33,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.34,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.35000000000000003,1.0,0.0,0.473,0.21966506803035735,314.3203182810117,-67.6029219356006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.36,0.997,0.0030000000000000027,0.474,0.2194787721335888,314.70112397230724,-67.40011316979377,0.47,llama2-13b,4bit,gptq,pubmedqa
0.37,0.997,0.0030000000000000027,0.474,0.2194787721335888,314.70112397230724,-67.40011316979377,0.47,llama2-13b,4bit,gptq,pubmedqa
0.38,0.995,0.0050000000000000044,0.473,0.21993753242492675,314.9555074632267,-67.26490732592258,0.47,llama2-13b,4bit,gptq,pubmedqa
0.39,0.993,0.007000000000000006,0.472,0.2209863210916519,315.2103025402886,-67.12970148205137,0.47,llama2-13b,4bit,gptq,pubmedqa
0.4,0.992,0.008000000000000007,0.472,0.22103271147608755,315.3378547359068,-67.0620985601158,0.47,llama2-13b,4bit,gptq,pubmedqa
0.41000000000000003,0.987,0.013000000000000012,0.473,0.22002768081426619,315.9771673016723,-66.72408395043779,0.47,llama2-13b,4bit,gptq,pubmedqa
0.42,0.986,0.014000000000000012,0.473,0.22014342615008353,316.1053410135058,-66.65648102850214,0.47,llama2-13b,4bit,gptq,pubmedqa
0.43,0.98,0.020000000000000018,0.473,0.22058134567737578,316.87657230491,-66.25086349688858,0.47,llama2-13b,4bit,gptq,pubmedqa
0.44,0.972,0.028000000000000025,0.473,0.22299489325284957,317.91075380242484,-65.71004012140378,0.47,llama2-13b,4bit,gptq,pubmedqa
0.45,0.964,0.03600000000000003,0.473,0.22185982200503349,318.9517078637305,-65.16921674591896,0.47,llama2-13b,4bit,gptq,pubmedqa
0.46,0.959,0.041000000000000036,0.473,0.2237605663537979,319.60577296574064,-64.83120213624096,0.47,llama2-13b,4bit,gptq,pubmedqa
0.47000000000000003,0.946,0.05400000000000005,0.472,0.2238838974237442,321.31896383684506,-63.95236415107814,0.47,llama2-13b,4bit,gptq,pubmedqa
0.48,0.936,0.06399999999999995,0.471,0.22539442202448845,322.64935264290034,-63.276334931722175,0.47,llama2-13b,4bit,gptq,pubmedqa
0.49,0.918,0.08199999999999996,0.467,0.2304231484532356,325.07202298792265,-62.059482336881324,0.47,llama2-13b,4bit,gptq,pubmedqa
0.5,0.897,0.10299999999999998,0.463,0.23513830745220185,327.94486104052345,-60.63982097623371,0.47,llama2-13b,4bit,gptq,pubmedqa
0.51,0.878,0.122,0.465,0.23431098970770836,330.58820213385576,-59.35536545945732,0.47,llama2-13b,4bit,gptq,pubmedqa
0.52,0.856,0.14400000000000002,0.466,0.2343136210143566,333.70265034481014,-57.868101176874106,0.47,llama2-13b,4bit,gptq,pubmedqa
0.53,0.837,0.16300000000000003,0.468,0.23377643385529517,336.4400129115799,-56.58364566009772,0.47,llama2-13b,4bit,gptq,pubmedqa
0.54,0.817,0.18300000000000005,0.465,0.23777348208427426,339.37038659853283,-55.2315872213857,0.47,llama2-13b,4bit,gptq,pubmedqa
0.55,0.806,0.19399999999999995,0.467,0.23648284500837324,341.00395555312474,-54.487955080094096,0.47,llama2-13b,4bit,gptq,pubmedqa
0.56,0.781,0.21899999999999997,0.469,0.23445059749484062,344.77574601914137,-52.797882031704106,0.47,llama2-13b,4bit,gptq,pubmedqa
0.5700000000000001,0.761,0.239,0.47,0.2332624022960663,347.85379033762456,-51.445823592992056,0.47,llama2-13b,4bit,gptq,pubmedqa
0.58,0.744,0.256,0.468,0.23538724997639657,350.5136703624142,-50.296573920086814,0.47,llama2-13b,4bit,gptq,pubmedqa
0.59,0.718,0.28200000000000003,0.468,0.23545429760217668,354.6613344704044,-48.53889794976121,0.47,llama2-13b,4bit,gptq,pubmedqa
0.6,0.694,0.30600000000000005,0.468,0.23553169068694113,358.57803343125,-46.916427823306805,0.47,llama2-13b,4bit,gptq,pubmedqa
0.61,0.671,0.32899999999999996,0.467,0.23625559943914415,362.4135813028449,-45.361560618787976,0.47,llama2-13b,4bit,gptq,pubmedqa
0.62,0.65,0.35,0.468,0.2353251071870327,365.9879718076337,-43.94189925814038,0.47,llama2-13b,4bit,gptq,pubmedqa
0.63,0.619,0.381,0.469,0.23490001451969147,371.39521922058555,-41.846208678136776,0.47,llama2-13b,4bit,gptq,pubmedqa
0.64,0.604,0.396,0.47,0.23352929037809372,374.06940256916147,-40.83216484910277,0.47,llama2-13b,4bit,gptq,pubmedqa
0.65,0.583,0.41700000000000004,0.47,0.2338528127968311,377.8786152562571,-39.41250348845513,0.47,llama2-13b,4bit,gptq,pubmedqa
0.66,0.561,0.43899999999999995,0.469,0.23483266961574553,381.953325373553,-37.92523920587194,0.47,llama2-13b,4bit,gptq,pubmedqa
0.67,0.536,0.46399999999999997,0.47,0.23421630814671515,386.69166892436994,-36.23516615748193,0.47,llama2-13b,4bit,gptq,pubmedqa
0.68,0.521,0.479,0.47,0.23416994550824163,389.59152875291926,-35.22112232844792,0.47,llama2-13b,4bit,gptq,pubmedqa
0.6900000000000001,0.5,0.5,0.47,0.23375759282708167,393.7251759926849,-33.8014609678003,0.47,llama2-13b,4bit,gptq,pubmedqa
0.7000000000000001,0.478,0.522,0.47,0.23365964901447298,398.150803824601,-32.31419668521707,0.47,llama2-13b,4bit,gptq,pubmedqa
0.71,0.456,0.544,0.47,0.23371898871660232,402.67705433537265,-30.82693240263388,0.47,llama2-13b,4bit,gptq,pubmedqa
0.72,0.437,0.563,0.47,0.23395315781235695,406.6697274442564,-29.54247688585745,0.47,llama2-13b,4bit,gptq,pubmedqa
0.73,0.412,0.5880000000000001,0.47,0.233570219874382,412.04546951339563,-27.85240383746743,0.47,llama2-13b,4bit,gptq,pubmedqa
0.74,0.394,0.606,0.47,0.23397265407443044,416.00485211843613,-26.63555124262662,0.47,llama2-13b,4bit,gptq,pubmedqa
0.75,0.382,0.618,0.47,0.23383906266093255,418.686986484499,-25.82431617939942,0.47,llama2-13b,4bit,gptq,pubmedqa
0.76,0.362,0.638,0.47,0.23376290863752366,423.2349016868937,-24.472257740687418,0.47,llama2-13b,4bit,gptq,pubmedqa
0.77,0.34,0.6599999999999999,0.47,0.23325753086805343,428.35310460517064,-22.984993458104206,0.47,llama2-13b,4bit,gptq,pubmedqa
0.78,0.322,0.6779999999999999,0.47,0.23260371157526968,432.633720069541,-21.768140863263397,0.47,llama2-13b,4bit,gptq,pubmedqa
0.79,0.301,0.6990000000000001,0.47,0.23242753314971923,437.7371777803018,-20.34847950261578,0.47,llama2-13b,4bit,gptq,pubmedqa
0.8,0.28,0.72,0.47,0.2324637657701969,442.9624761320587,-18.928818141968186,0.47,llama2-13b,4bit,gptq,pubmedqa
0.81,0.261,0.739,0.47,0.23213441619277003,447.7987945369232,-17.644362625191757,0.47,llama2-13b,4bit,gptq,pubmedqa
0.8200000000000001,0.241,0.759,0.47,0.2319252759218216,453.00507317448336,-16.292304186479733,0.47,llama2-13b,4bit,gptq,pubmedqa
0.8300000000000001,0.22,0.78,0.47,0.2315593101978302,458.6035671478329,-14.872642825832138,0.47,llama2-13b,4bit,gptq,pubmedqa
0.84,0.203,0.7969999999999999,0.47,0.23149429202079774,463.2380577739531,-13.7233931529269,0.47,llama2-13b,4bit,gptq,pubmedqa
0.85,0.178,0.8220000000000001,0.47,0.23112864673137665,470.22621233102376,-12.033320104536926,0.47,llama2-13b,4bit,gptq,pubmedqa
0.86,0.166,0.834,0.47,0.2312073472738266,473.65596273490956,-11.222085041309704,0.47,llama2-13b,4bit,gptq,pubmedqa
0.87,0.147,0.853,0.47,0.23111563858389855,479.18991882455884,-9.937629524533298,0.47,llama2-13b,4bit,gptq,pubmedqa
0.88,0.124,0.876,0.47,0.23076635640859602,486.0644131958723,-8.38276232001447,0.47,llama2-13b,4bit,gptq,pubmedqa
0.89,0.101,0.899,0.47,0.23026391053199768,493.13902244980216,-6.8278951154956635,0.47,llama2-13b,4bit,gptq,pubmedqa
0.9,0.073,0.927,0.47,0.22984364658594134,502.03456511091395,-4.935013301298841,0.47,llama2-13b,4bit,gptq,pubmedqa
0.91,0.064,0.9359999999999999,0.47,0.22968939769268037,504.9624000990953,-4.326587003878424,0.47,llama2-13b,4bit,gptq,pubmedqa
0.92,0.054,0.946,0.47,0.22952759671211242,508.25586367941474,-3.6505577845224346,0.47,llama2-13b,4bit,gptq,pubmedqa
0.93,0.038,0.962,0.47,0.22934839546680452,513.6157071063402,-2.568911033552812,0.47,llama2-13b,4bit,gptq,pubmedqa
0.9400000000000001,0.031,0.969,0.47,0.22930728590488436,515.9963507602112,-2.0956905800036285,0.47,llama2-13b,4bit,gptq,pubmedqa
0.9500000000000001,0.018,0.982,0.47,0.22926835012435914,520.476604607549,-1.2168525948408115,0.47,llama2-13b,4bit,gptq,pubmedqa
0.96,0.015,0.985,0.47,0.22927750903368,521.5215802744021,-1.014043829034006,0.47,llama2-13b,4bit,gptq,pubmedqa
0.97,0.005,0.995,0.47,0.22925357437133792,525.0353415159586,-0.33801460967799457,0.47,llama2-13b,4bit,gptq,pubmedqa
0.98,0.002,0.998,0.47,0.2292575869560242,526.0987214603093,-0.13520584387121115,0.47,llama2-13b,4bit,gptq,pubmedqa
0.99,0.001,0.999,0.47,0.2292559089660645,526.4541392954407,-0.06760292193561668,0.47,llama2-13b,4bit,gptq,pubmedqa
1.0,0.0,1.0,0.47,0.22925642395019533,526.8100376762553,0.0,0.47,llama2-13b,4bit,gptq,pubmedqa
