threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.01,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.02,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.03,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.04,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.05,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.06,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.07,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.08,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.09,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.1,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.11,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.12,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.13,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.14,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
0.15,1.0,0.0,0.754,0.1774893311858177,60.147703249786325,34.403010552976276,0.767,llama2-13b,4bit,nf4,triviaqa
