threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.01,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.02,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.03,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.04,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.05,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.06,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.07,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.08,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.09,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.1,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.11,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.12,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.13,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.14,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.15,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.16,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.17,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.18,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.19,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.2,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.21,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.22,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.23,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.24,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.25,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.26,1.0,0.0,0.775,0.3349316106438637,404.4103045977223,-371.25495996291767,0.775,llama2-13b,8bit,gptq,hellaswag
0.27,0.996,0.0040000000000000036,0.775,0.3349309667050838,405.68871190835347,-369.76994012306585,0.775,llama2-13b,8bit,gptq,hellaswag
0.28,0.994,0.006000000000000005,0.775,0.3349310224950313,406.3309513033147,-369.02743020314006,0.775,llama2-13b,8bit,gptq,hellaswag
0.29,0.987,0.013000000000000012,0.775,0.33492952314019203,408.5948917315666,-366.4286454833997,0.775,llama2-13b,8bit,gptq,hellaswag
0.3,0.976,0.02400000000000002,0.775,0.33492899662256237,412.2039331529986,-362.3448409238075,0.775,llama2-13b,8bit,gptq,hellaswag
0.31,0.96,0.040000000000000036,0.775,0.33492734384536743,417.56874150161366,-356.4047615644009,0.775,llama2-13b,8bit,gptq,hellaswag
0.32,0.931,0.06899999999999995,0.775,0.33492308637499807,427.6569876029905,-345.6383677254762,0.775,llama2-13b,8bit,gptq,hellaswag
0.33,0.899,0.10099999999999998,0.775,0.3349191008806228,439.370040599885,-333.758209006663,0.775,llama2-13b,8bit,gptq,hellaswag
0.34,0.862,0.138,0.774,0.33391713300347325,453.7392416865776,-320.02177548803496,0.775,llama2-13b,8bit,gptq,hellaswag
0.35000000000000003,0.827,0.17300000000000004,0.775,0.3349141388237476,468.22437584346926,-307.02785188933285,0.775,llama2-13b,8bit,gptq,hellaswag
0.36,0.784,0.21599999999999997,0.775,0.33491547271609307,487.3381753010718,-291.06388861092734,0.775,llama2-13b,8bit,gptq,hellaswag
0.37,0.739,0.261,0.775,0.3349179665148258,509.08664836181686,-274.3574154125961,0.775,llama2-13b,8bit,gptq,hellaswag
0.38,0.701,0.29900000000000004,0.775,0.33492356720566746,529.0229184176555,-260.2497269340052,0.775,llama2-13b,8bit,gptq,hellaswag
0.39,0.655,0.345,0.775,0.3349281074106693,555.3493950022118,-243.1719987757111,0.775,llama2-13b,8bit,gptq,hellaswag
0.4,0.604,0.396,0.775,0.33492745289206505,587.7792373507039,-224.2379958176022,0.775,llama2-13b,8bit,gptq,hellaswag
0.41000000000000003,0.562,0.43799999999999994,0.775,0.3349249777495861,617.473746143977,-208.64528749915968,0.775,llama2-13b,8bit,gptq,hellaswag
0.42,0.523,0.477,0.775,0.33492410871386524,647.865963424172,-194.16634406060592,0.775,llama2-13b,8bit,gptq,hellaswag
0.43,0.48,0.52,0.775,0.3349299827516079,685.042167381712,-178.20238078220046,0.775,llama2-13b,8bit,gptq,hellaswag
