threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.01,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.02,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.03,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.04,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.05,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.06,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.07,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.08,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.09,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.1,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.11,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.12,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.13,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.14,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.15,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.16,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.17,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.18,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.19,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.2,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.21,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.22,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.23,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.24,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.25,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.26,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.27,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.28,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.29,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.3,1.0,0.0,0.763,0.1632808306515217,17.420429461861563,-126.48742753310556,0.767,llama2-13b,8bit,gptq,triviaqa
0.31,0.998,0.0020000000000000018,0.763,0.16328136423230175,17.43990894682125,-126.23445267803936,0.767,llama2-13b,8bit,gptq,triviaqa
0.32,0.998,0.0020000000000000018,0.763,0.16328136423230175,17.43990894682125,-126.23445267803936,0.767,llama2-13b,8bit,gptq,triviaqa
0.33,0.994,0.006000000000000005,0.763,0.16328028848767281,17.47899890117068,-125.72850296790693,0.767,llama2-13b,8bit,gptq,triviaqa
0.34,0.991,0.009000000000000008,0.763,0.1632812134921551,17.508431557286805,-125.34904068530759,0.767,llama2-13b,8bit,gptq,triviaqa
0.35000000000000003,0.99,0.010000000000000009,0.763,0.16328130280971528,17.518264482257184,-125.22255325777448,0.767,llama2-13b,8bit,gptq,triviaqa
0.36,0.987,0.013000000000000012,0.763,0.1631768224835396,17.547829636333233,-124.84309097517516,0.767,llama2-13b,8bit,gptq,triviaqa
0.37,0.98,0.020000000000000018,0.763,0.16317826837301255,17.617204613235188,-123.95767898244343,0.767,llama2-13b,8bit,gptq,triviaqa
0.38,0.975,0.025000000000000022,0.763,0.16289584478735925,17.6670949631447,-123.32524184477793,0.767,llama2-13b,8bit,gptq,triviaqa
0.39,0.973,0.027000000000000024,0.763,0.1628963707983494,17.68713031244228,-123.0722669897117,0.767,llama2-13b,8bit,gptq,triviaqa
0.4,0.965,0.03500000000000003,0.763,0.16286836096644403,17.76772820167937,-122.0603675694469,0.767,llama2-13b,8bit,gptq,triviaqa
0.41000000000000003,0.952,0.04800000000000004,0.763,0.162756652623415,17.900278111499066,-120.4160310115165,0.767,llama2-13b,8bit,gptq,triviaqa
0.42,0.944,0.05600000000000005,0.763,0.16274665185809137,17.982834811376303,-119.40413159125166,0.767,llama2-13b,8bit,gptq,triviaqa
0.43,0.928,0.07199999999999995,0.763,0.1639775221347809,18.1502540060209,-117.38033275072195,0.767,llama2-13b,8bit,gptq,triviaqa
0.44,0.909,0.09099999999999997,0.763,0.16399355477094651,18.353158434373846,-114.97707162759295,0.767,llama2-13b,8bit,gptq,triviaqa
0.45,0.887,0.11299999999999999,0.763,0.16384653529524806,18.593842335582057,-112.19434822186463,0.767,llama2-13b,8bit,gptq,triviaqa
0.46,0.869,0.131,0.763,0.1638253000378609,18.795511830026474,-109.91757452626874,0.767,llama2-13b,8bit,gptq,triviaqa
0.47000000000000003,0.846,0.15400000000000003,0.763,0.16371752348542215,19.059656261957237,-107.0083636930073,0.767,llama2-13b,8bit,gptq,triviaqa
0.48,0.819,0.18100000000000005,0.763,0.16375391608476642,19.37937118873037,-103.59320314961344,0.767,llama2-13b,8bit,gptq,triviaqa
0.49,0.8,0.19999999999999996,0.763,0.16363105058670047,19.610862330382126,-101.18994202648443,0.767,llama2-13b,8bit,gptq,triviaqa
0.5,0.782,0.21799999999999997,0.765,0.16558571100234987,19.835329598569682,-98.91316833088857,0.767,llama2-13b,8bit,gptq,triviaqa
0.51,0.762,0.238,0.765,0.1655816835165024,20.090841985308042,-96.38341978022649,0.767,llama2-13b,8bit,gptq,triviaqa
0.52,0.732,0.268,0.765,0.16520528072118762,20.486696618581387,-92.58879695423326,0.767,llama2-13b,8bit,gptq,triviaqa
0.53,0.715,0.28500000000000003,0.766,0.16592548900842669,20.718016755764666,-90.43851068617046,0.767,llama2-13b,8bit,gptq,triviaqa
0.54,0.684,0.31599999999999995,0.767,0.16681151342391973,21.153566617307444,-86.51740043264422,0.767,llama2-13b,8bit,gptq,triviaqa
0.55,0.66,0.33999999999999997,0.767,0.16684933608770375,21.503551627418243,-83.48170217184968,0.767,llama2-13b,8bit,gptq,triviaqa
0.56,0.637,0.363,0.767,0.1667874322533608,21.849996231933225,-80.57249133858821,0.767,llama2-13b,8bit,gptq,triviaqa
0.5700000000000001,0.604,0.396,0.767,0.16681496828794481,22.367028929924835,-76.39840622999574,0.767,llama2-13b,8bit,gptq,triviaqa
0.58,0.584,0.41600000000000004,0.767,0.1668568080067635,22.69246400127881,-73.86865767933367,0.767,llama2-13b,8bit,gptq,triviaqa
0.59,0.556,0.44399999999999995,0.767,0.16705195927619937,23.164313528978795,-70.3270097084067,0.767,llama2-13b,8bit,gptq,triviaqa
0.6,0.537,0.46299999999999997,0.767,0.16698768168687822,23.495832415480397,-67.92374858527768,0.767,llama2-13b,8bit,gptq,triviaqa
0.61,0.521,0.479,0.767,0.16698780775070193,23.78245600079727,-65.899949744748,0.767,llama2-13b,8bit,gptq,triviaqa
0.62,0.498,0.502,0.767,0.1670473588705063,24.206947472528412,-62.99073891148657,0.767,llama2-13b,8bit,gptq,triviaqa
0.63,0.485,0.515,0.767,0.16704768198728565,24.453648781664242,-61.34640235355619,0.767,llama2-13b,8bit,gptq,triviaqa
0.64,0.463,0.5369999999999999,0.767,0.16745164185762407,24.882799651975382,-58.56367894782788,0.767,llama2-13b,8bit,gptq,triviaqa
0.65,0.442,0.558,0.767,0.1673640096187592,25.306734432861205,-55.90744296963268,0.767,llama2-13b,8bit,gptq,triviaqa
0.66,0.42,0.5800000000000001,0.767,0.1678074857592583,25.766631714171716,-53.12471956390434,0.767,llama2-13b,8bit,gptq,triviaqa
0.67,0.394,0.606,0.767,0.1677778843045235,26.33217005433384,-49.83604644804358,0.767,llama2-13b,8bit,gptq,triviaqa
0.68,0.371,0.629,0.767,0.1680876218080521,26.853557682841664,-46.92683561478217,0.767,llama2-13b,8bit,gptq,triviaqa
0.6900000000000001,0.341,0.659,0.767,0.16812219160795216,27.56548074304616,-43.13221278878898,0.767,llama2-13b,8bit,gptq,triviaqa
0.7000000000000001,0.31,0.69,0.767,0.16812360328435902,28.34190796197117,-39.21110253526274,0.767,llama2-13b,8bit,gptq,triviaqa
0.71,0.279,0.721,0.767,0.16824871474504474,29.163341565742503,-35.28999228173648,0.767,llama2-13b,8bit,gptq,triviaqa
0.72,0.254,0.746,0.767,0.16850139200687408,29.861301394946263,-32.12780659340879,0.767,llama2-13b,8bit,gptq,triviaqa
0.73,0.224,0.776,0.767,0.16850279641151428,30.744256002325795,-28.333183767415647,0.767,llama2-13b,8bit,gptq,triviaqa
0.74,0.191,0.8089999999999999,0.766,0.16752794355154038,31.777842284284066,-24.159098658823154,0.767,llama2-13b,8bit,gptq,triviaqa
0.75,0.17,0.83,0.766,0.16754417091608048,32.472553883028866,-21.502862680627956,0.767,llama2-13b,8bit,gptq,triviaqa
0.76,0.142,0.858,0.766,0.16790121454000476,33.44750446194307,-17.96121470970098,0.767,llama2-13b,8bit,gptq,triviaqa
0.77,0.118,0.882,0.766,0.16791920763254167,34.33100304659532,-14.92551644890645,0.767,llama2-13b,8bit,gptq,triviaqa
0.78,0.096,0.904,0.766,0.1684788796901703,35.182896272432025,-12.142793043178134,0.767,llama2-13b,8bit,gptq,triviaqa
0.79,0.079,0.921,0.766,0.16848455739021304,35.870700386942886,-9.99250677511534,0.767,llama2-13b,8bit,gptq,triviaqa
0.8,0.062,0.938,0.766,0.16770000112056735,36.58593301202403,-7.842220507052522,0.767,llama2-13b,8bit,gptq,triviaqa
0.81,0.055,0.945,0.766,0.16769276845455172,36.8887994148654,-6.956808514320789,0.767,llama2-13b,8bit,gptq,triviaqa
0.8200000000000001,0.044,0.956,0.766,0.16840178418159485,37.37499697591159,-5.565446811456631,0.767,llama2-13b,8bit,gptq,triviaqa
0.8300000000000001,0.032,0.968,0.766,0.1673160166144371,37.920224428758544,-4.047597681059356,0.767,llama2-13b,8bit,gptq,triviaqa
0.84,0.028,0.972,0.766,0.16731234735250472,38.105519205632035,-3.5416479709269533,0.767,llama2-13b,8bit,gptq,triviaqa
0.85,0.024,0.976,0.766,0.1673098904490471,38.29263373702228,-3.035698260794506,0.767,llama2-13b,8bit,gptq,triviaqa
0.86,0.019,0.981,0.766,0.16730023449659348,38.52912702257495,-2.403261123129008,0.767,llama2-13b,8bit,gptq,triviaqa
0.87,0.015,0.985,0.766,0.16729386031627655,38.7204353149961,-1.897311412996583,0.767,llama2-13b,8bit,gptq,triviaqa
0.88,0.011,0.989,0.766,0.16729574072360992,38.913652889894,-1.3913617028641578,0.767,llama2-13b,8bit,gptq,triviaqa
0.89,0.008,0.992,0.766,0.16729749166965485,39.05983629635031,-1.0118994202648501,0.767,llama2-13b,8bit,gptq,triviaqa
0.9,0.007,0.993,0.767,0.1666605812907219,39.108808472955445,-0.8854119927317328,0.767,llama2-13b,8bit,gptq,triviaqa
0.91,0.007,0.993,0.767,0.1666605812907219,39.108808472955445,-0.8854119927317328,0.767,llama2-13b,8bit,gptq,triviaqa
0.92,0.007,0.993,0.767,0.1666605812907219,39.108808472955445,-0.8854119927317328,0.767,llama2-13b,8bit,gptq,triviaqa
0.93,0.006,0.994,0.767,0.16666002136468885,39.157903603724016,-0.7589245651986376,0.767,llama2-13b,8bit,gptq,triviaqa
0.9400000000000001,0.004,0.996,0.767,0.1666597107052803,39.25646458461538,-0.5059497101324251,0.767,llama2-13b,8bit,gptq,triviaqa
0.9500000000000001,0.002,0.998,0.767,0.16666087746620176,39.35552297617994,-0.25297485506619033,0.767,llama2-13b,8bit,gptq,triviaqa
0.96,0.0,1.0,0.767,0.16666057735681533,39.45508255338948,0.0,0.767,llama2-13b,8bit,gptq,triviaqa
0.97,0.0,1.0,0.767,0.16666057735681533,39.45508255338948,0.0,0.767,llama2-13b,8bit,gptq,triviaqa
0.98,0.0,1.0,0.767,0.16666057735681533,39.45508255338948,0.0,0.767,llama2-13b,8bit,gptq,triviaqa
0.99,0.0,1.0,0.767,0.16666057735681533,39.45508255338948,0.0,0.767,llama2-13b,8bit,gptq,triviaqa
1.0,0.0,1.0,0.767,0.16666057735681533,39.45508255338948,0.0,0.767,llama2-13b,8bit,gptq,triviaqa
