threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.01,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.02,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.03,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.04,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.05,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.06,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.07,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.08,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.09,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.1,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.11,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.12,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.13,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.14,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.15,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.16,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.17,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.18,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.19,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.2,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.21,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.22,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.23,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.24,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.25,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.26,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.27,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.28,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.29,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.3,1.0,0.0,0.6853544,0.15454302229588446,31.30175265682167,-65.33322773123152,0.7005127,mistral-7b,4bit,awq,triviaqa
0.31,0.9999442710655372,5.572893446281757e-05,0.6853544,0.15454307867515532,31.302441995947643,-65.32958678006504,0.7005127,mistral-7b,4bit,awq,triviaqa
0.32,0.9999442710655372,5.572893446281757e-05,0.6853544,0.15454307867515532,31.302441995947643,-65.32958678006504,0.7005127,mistral-7b,4bit,awq,triviaqa
