threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.01,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.02,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.03,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.04,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.05,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.06,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.07,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.08,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.09,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.1,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.11,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.12,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.13,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
0.14,1.0,0.0,0.6870263,0.1581367952778198,23.8598228486308,-116.90101528536539,0.7005127,mistral-7b,4bit,nf4,triviaqa
