model_name,quant_method,precision,tokens_per_second,accuracy,ece,config_label,is_pareto,model_family
llama1-7b,awq,4bit,350.03353049036446,0.6489927172660828,0.20996167945643474,llama1-7b awq 4bit,False,llama1-7b
llama1-7b,fp16,16bit,549.4961439958598,0.653616189956665,0.21050605835182634,llama1-7b fp16 16bit,True,llama1-7b
llama1-7b,gptq,4bit,1849.1658359082242,0.6394810477892557,0.20599521702570653,llama1-7b gptq 4bit,True,llama1-7b
llama1-7b,gptq,8bit,1721.863788376484,0.6534725824991862,0.20726910078015834,llama1-7b gptq 8bit,True,llama1-7b
llama1-7b,nf4,4bit,324.64614307273916,0.6426100532213846,0.20798530766100085,llama1-7b nf4 4bit,False,llama1-7b
llama2-13b,16bit,fp16,824.0229130825179,0.6706666648387909,0.24362851522366205,llama2-13b 16bit fp16,True,llama2-13b
llama2-13b,4bit,awq,409.0514052820767,0.6659999787807465,0.24766270100076992,llama2-13b 4bit awq,False,llama2-13b
llama2-13b,4bit,gptq,446.41076581203157,0.6616666515668234,0.23572419524192811,llama2-13b 4bit gptq,True,llama2-13b
llama2-13b,4bit,nf4,415.56626570768327,0.6626666784286499,0.2491213340361913,llama2-13b 4bit nf4,False,llama2-13b
llama2-13b,8bit,gptq,236.31305666586817,0.6703333258628845,0.24219986285765968,llama2-13b 8bit gptq,True,llama2-13b
mistral-7b,16bit,fp16,966.1188970102085,0.6736098527908325,0.21634566737543817,mistral-7b 16bit fp16,True,mistral-7b
mistral-7b,4bit,awq,529.2121345165675,0.665504644314448,0.16792597614096896,mistral-7b 4bit awq,True,mistral-7b
mistral-7b,4bit,gptq,434.6575483673044,0.6661032338937124,0.17277415038099664,mistral-7b 4bit gptq,True,mistral-7b
mistral-7b,4bit,nf4,341.82260803730225,0.6646524667739868,0.22450326963076705,mistral-7b 4bit nf4,False,mistral-7b
mistral-7b,8bit,gptq,434.7506452751815,0.6526117622852325,0.18034082680182148,mistral-7b 8bit gptq,False,mistral-7b
