model_name,precision,quant_method,dataset,tokens_per_second,accuracy,num_examples,ece,MCE,Brier_Score,Avg_Entropy,is_pareto
llama1-7b-nf4-kd-T1,4bit,nf4,pubmedqa,307.4165766337437,0.5299999713897705,1000,0.21811575266718863,0.3801239972764796,0.3099367916584015,0.629787802696228,False
llama1-7b-nf4-kd-T12,4bit,nf4,pubmedqa,310.98363704858775,0.5360000133514404,1000,0.2399963026940823,0.37594757477442425,0.3194289207458496,0.5769532322883606,False
llama1-7b-nf4-kd-T16,4bit,nf4,pubmedqa,312.60338494650006,0.5360000133514404,1000,0.24117336720228194,0.36530425779673514,0.3195962607860565,0.5767008662223816,False
llama1-7b-nf4-kd-T2,4bit,nf4,pubmedqa,307.54584065463047,0.5360000133514404,1000,0.24009048664569854,0.36106099920757745,0.319313645362854,0.5853080153465271,False
llama1-7b-nf4-kd-T4,4bit,nf4,pubmedqa,305.93159188679067,0.5370000004768372,1000,0.24288986977934834,0.3758007346415052,0.32063302397727966,0.5765200257301331,False
llama1-7b-nf4-kd-T8,4bit,nf4,pubmedqa,315.6839664021757,0.5360000133514404,1000,0.24202766445279122,0.36268700247433916,0.3202522099018097,0.5738921761512756,False
llama2-13b-nf4-kd-T1,4bit,nf4,pubmedqa,245.42575671385245,0.4350000023841858,1000,0.2408960554003716,0.42374865318599503,0.319619357585907,0.7187872529029846,False
llama2-13b-nf4-kd-T12,4bit,nf4,pubmedqa,248.3123114275326,0.47999998927116394,1000,0.2138746719658375,0.34893573465801425,0.300840824842453,0.7029524445533752,False
llama2-13b-nf4-kd-T16,4bit,nf4,pubmedqa,245.96179197412752,0.47200000286102295,1000,0.22043141174316408,0.35984434366226203,0.2997500002384186,0.7055422067642212,False
llama2-13b-nf4-kd-T2,4bit,nf4,pubmedqa,252.7867962262828,0.4749999940395355,1000,0.2351903736293316,0.3834545768960549,0.3071221113204956,0.680516242980957,False
llama2-13b-nf4-kd-T4,4bit,nf4,pubmedqa,246.3993857244865,0.4740000069141388,1000,0.2268678061962128,0.36342385811592215,0.3043147623538971,0.6887271404266357,False
llama2-13b-nf4-kd-T8,4bit,nf4,pubmedqa,250.53613114346564,0.4749999940395355,1000,0.2162977050244808,0.3773100202282269,0.2991209030151367,0.7111868858337402,False
mistral-7b-nf4-kd-T1,4bit,nf4,pubmedqa,263.98417429797564,0.49399998784065247,1000,0.23645196339488028,0.36106734518456246,0.3070507347583771,0.6118628978729248,False
mistral-7b-nf4-kd-T12,4bit,nf4,pubmedqa,265.2212810079031,0.4180000126361847,1000,0.24436834990978246,0.6045745313167572,0.320549875497818,0.7539644837379456,False
mistral-7b-nf4-kd-T16,4bit,nf4,pubmedqa,257.4793210515146,0.4259999990463257,1000,0.1942569522857666,0.5698076225817204,0.3017297089099884,0.8247478604316711,False
mistral-7b-nf4-kd-T2,4bit,nf4,pubmedqa,266.0451936235416,0.4650000035762787,1000,0.25134794777631764,0.36764181554317477,0.3173550069332123,0.6723272800445557,False
mistral-7b-nf4-kd-T4,4bit,nf4,pubmedqa,270.4739682089708,0.4390000104904175,1000,0.27017408284544947,0.48001573380382584,0.33772894740104675,0.6870529651641846,False
mistral-7b-nf4-kd-T8,4bit,nf4,pubmedqa,264.03725879023966,0.4339999854564667,1000,0.24923458787798883,0.6077419784333971,0.3303544819355011,0.6962376236915588,False
llama1-7b-nf4-kd-Tt2_Ts1,4bit,nf4,pubmedqa,311.205214744516,0.5130000114440918,1000,0.09376607972383497,0.2883042097091675,0.25967249274253845,0.8549940586090088,True
