model,quant_method,precision,dataset,fp16_accuracy,best_acc_threshold,best_acc_accuracy,best_acc_savings,best_acc_frac_quant,max_savings_threshold,max_savings_accuracy,max_savings_pct,max_savings_frac_quant,balanced_threshold,balanced_accuracy,balanced_savings
llama1-7b,awq,4bit,pubmedqa,0.536,0.49246231155778897,0.545,-10.922946324900051,0.951,1.0,0.536,0.0,0.0,0.0,0.539,-11.485747975709826
llama1-7b,gptq,8bit,pubmedqa,0.536,0.34673366834170855,0.536,67.84654754318422,0.999,0.0,0.535,67.9144620051894,1.0,0.34673366834170855,0.536,67.84654754318422
llama1-7b,gptq,4bit,pubmedqa,0.536,0.0,0.539,69.84825829732652,1.0,0.0,0.539,69.84825829732652,1.0,0.0,0.539,69.84825829732652
llama1-7b,nf4,4bit,pubmedqa,0.536,0.45226130653266333,0.536,-75.0378472921146,0.989,1.0,0.536,0.0,0.0,0.0,0.532,-75.87244417807342
mistral-7b,4bit,awq,pubmedqa,0.491,0.3919597989949749,0.493,-79.99976396522186,0.935,0.9396984924623115,0.491,0.0,0.0,0.0,0.492,-85.5612448825902
mistral-7b,4bit,nf4,pubmedqa,0.491,0.6331658291457286,0.491,-122.79667572469792,0.64,1.0,0.491,0.0,0.0,0.0,0.481,-191.86980581984056
mistral-7b,8bit,gptq,pubmedqa,0.491,0.5477386934673367,0.491,-59.44538219558133,0.464,0.9447236180904522,0.491,0.0,0.0,0.0,0.461,-128.11504783530455
mistral-7b,4bit,gptq,pubmedqa,0.491,0.4170854271356784,0.496,-108.81445606585878,0.874,0.9396984924623115,0.491,0.0,0.0,0.0,0.493,-124.50166597924346
llama2-13b,4bit,awq,pubmedqa,0.47,0.577889447236181,0.473,-66.9321752924233,0.774,0.9949748743718593,0.47,0.0,0.0,0.0,0.471,-86.47567867238155
llama2-13b,4bit,gptq,pubmedqa,0.47,0.44221105527638194,0.474,19.551844915097284,0.969,0.0,0.472,20.17734253364013,1.0,0.0,0.472,20.17734253364013
llama2-13b,4bit,nf4,pubmedqa,0.47,0.8693467336683417,0.47,-26.580419502688347,0.164,0.9949748743718593,0.47,0.0,0.0,0.0,0.467,-162.07572867492885
llama2-13b,8bit,gptq,pubmedqa,0.47,0.0,0.473,-125.68116764815156,1.0,0.9949748743718593,0.47,0.0,0.0,0.0,0.473,-125.68116764815156
