threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.005025125628140704,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.010050251256281407,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.01507537688442211,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.020100502512562814,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.02512562814070352,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.03015075376884422,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.035175879396984924,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.04020100502512563,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.04522613065326633,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.05025125628140704,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.05527638190954774,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.06030150753768844,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.06532663316582915,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.07035175879396985,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.07537688442211056,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.08040201005025126,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.08542713567839195,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.09045226130653267,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.09547738693467336,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.10050251256281408,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.10552763819095477,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.11055276381909548,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.11557788944723618,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.12060301507537688,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.12562814070351758,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.1306532663316583,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.135678391959799,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.1407035175879397,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.1457286432160804,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.15075376884422112,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.15577889447236182,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.16080402010050251,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.1658291457286432,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.1708542713567839,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.17587939698492464,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.18090452261306533,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.18592964824120603,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.19095477386934673,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.19597989949748745,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.20100502512562815,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.20603015075376885,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.21105527638190955,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.21608040201005024,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.22110552763819097,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.22613065326633167,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.23115577889447236,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.23618090452261306,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.24120603015075376,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.24623115577889448,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.25125628140703515,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2562814070351759,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2613065326633166,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2663316582914573,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.271356783919598,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2763819095477387,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2814070351758794,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2864321608040201,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2914572864321608,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.2964824120603015,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.30150753768844224,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.3065326633165829,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.31155778894472363,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.3165829145728643,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.32160804020100503,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.32663316582914576,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.3316582914572864,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.33668341708542715,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.3417085427135678,1.0,0.0,0.539,0.25524899929761885,349.49908789266044,-11.485747975709826,0.536,llama1-7b,awq,4bit,pubmedqa
0.34673366834170855,0.999,0.0010000000000000009,0.54,0.2562510422170162,349.5350985229266,-11.474262227734112,0.536,llama1-7b,awq,4bit,pubmedqa
0.35175879396984927,0.999,0.0010000000000000009,0.54,0.2562510422170162,349.5350985229266,-11.474262227734112,0.536,llama1-7b,awq,4bit,pubmedqa
0.35678391959798994,0.997,0.0030000000000000027,0.541,0.2571331433057785,349.60714205017405,-11.451290731782704,0.536,llama1-7b,awq,4bit,pubmedqa
0.36180904522613067,0.997,0.0030000000000000027,0.541,0.2571331433057785,349.60714205017405,-11.451290731782704,0.536,llama1-7b,awq,4bit,pubmedqa
0.36683417085427134,0.997,0.0030000000000000027,0.541,0.2571331433057785,349.60714205017405,-11.451290731782704,0.536,llama1-7b,awq,4bit,pubmedqa
0.37185929648241206,0.996,0.0040000000000000036,0.541,0.2579357778429985,349.64317495174527,-11.43980498380699,0.536,llama1-7b,awq,4bit,pubmedqa
0.3768844221105528,0.996,0.0040000000000000036,0.541,0.2579357778429985,349.64317495174527,-11.43980498380699,0.536,llama1-7b,awq,4bit,pubmedqa
0.38190954773869346,0.995,0.0050000000000000044,0.541,0.2578407509326935,349.6792152816763,-11.428319235831296,0.536,llama1-7b,awq,4bit,pubmedqa
0.3869346733668342,0.994,0.006000000000000005,0.54,0.2576393221616745,349.71526304226455,-11.416833487855582,0.536,llama1-7b,awq,4bit,pubmedqa
0.3919597989949749,0.993,0.007000000000000006,0.54,0.25644867941737176,349.75131823580824,-11.405347739879868,0.536,llama1-7b,awq,4bit,pubmedqa
0.3969849246231156,0.993,0.007000000000000006,0.54,0.25644867941737176,349.75131823580824,-11.405347739879868,0.536,llama1-7b,awq,4bit,pubmedqa
0.4020100502512563,0.992,0.008000000000000007,0.539,0.2574708364903927,349.78738086460663,-11.393861991904153,0.536,llama1-7b,awq,4bit,pubmedqa
0.40703517587939697,0.991,0.009000000000000008,0.539,0.25749216303229333,349.8234509309598,-11.382376243928437,0.536,llama1-7b,awq,4bit,pubmedqa
0.4120603015075377,0.991,0.009000000000000008,0.539,0.25749216303229333,349.8234509309598,-11.382376243928437,0.536,llama1-7b,awq,4bit,pubmedqa
0.4170854271356784,0.99,0.010000000000000009,0.539,0.2575230672955513,349.85952843716893,-11.370890495952747,0.536,llama1-7b,awq,4bit,pubmedqa
0.4221105527638191,0.987,0.013000000000000012,0.539,0.25878290888667105,349.96780561795754,-11.336433252025602,0.536,llama1-7b,awq,4bit,pubmedqa
0.4271356783919598,0.985,0.015000000000000013,0.54,0.25885922577977183,350.04002764665967,-11.313461756074194,0.536,llama1-7b,awq,4bit,pubmedqa
0.4321608040201005,0.985,0.015000000000000013,0.54,0.25885922577977183,350.04002764665967,-11.313461756074194,0.536,llama1-7b,awq,4bit,pubmedqa
0.4371859296482412,0.983,0.017000000000000015,0.54,0.2579317818582058,350.1122794900933,-11.290490260122766,0.536,llama1-7b,awq,4bit,pubmedqa
0.44221105527638194,0.98,0.020000000000000018,0.541,0.2560264829993248,350.22071319826364,-11.256033016195644,0.536,llama1-7b,awq,4bit,pubmedqa
0.4472361809045226,0.979,0.02100000000000002,0.542,0.2561086238026619,350.256872695034,-11.244547268219929,0.536,llama1-7b,awq,4bit,pubmedqa
0.45226130653266333,0.976,0.02400000000000002,0.54,0.2571542912721634,350.3653959998616,-11.210090024292786,0.536,llama1-7b,awq,4bit,pubmedqa
0.457286432160804,0.974,0.026000000000000023,0.541,0.2561180965304375,350.4377822383239,-11.187118528341378,0.536,llama1-7b,awq,4bit,pubmedqa
0.4623115577889447,0.973,0.027000000000000024,0.541,0.2551768000721932,350.4739865750773,-11.175632780365664,0.536,llama1-7b,awq,4bit,pubmedqa
0.46733668341708545,0.971,0.029000000000000026,0.543,0.25529387944936754,350.54641769522016,-11.152661284414256,0.536,llama1-7b,awq,4bit,pubmedqa
0.4723618090452261,0.969,0.031000000000000028,0.543,0.25627146577835086,350.6188787596774,-11.129689788462827,0.536,llama1-7b,awq,4bit,pubmedqa
0.47738693467336685,0.963,0.03700000000000003,0.544,0.2585462191104889,350.83644180474306,-11.060775300608562,0.536,llama1-7b,awq,4bit,pubmedqa
0.4824120603015075,0.961,0.039000000000000035,0.544,0.25850193363428114,350.9090228323425,-11.037803804657154,0.536,llama1-7b,awq,4bit,pubmedqa
0.48743718592964824,0.956,0.04400000000000004,0.544,0.2565183681845665,351.09060685547735,-10.980375064778581,0.536,llama1-7b,awq,4bit,pubmedqa
0.49246231155778897,0.951,0.049000000000000044,0.545,0.25856646823883056,351.2723789035786,-10.922946324900051,0.536,llama1-7b,awq,4bit,pubmedqa
0.49748743718592964,0.945,0.05500000000000005,0.544,0.2569213986992836,351.49075396570606,-10.854031837045785,0.536,llama1-7b,awq,4bit,pubmedqa
0.5025125628140703,0.941,0.05900000000000005,0.544,0.25799436509609225,351.6364882440576,-10.808088845142972,0.536,llama1-7b,awq,4bit,pubmedqa
0.507537688442211,0.937,0.06299999999999994,0.544,0.26056597593426706,351.7823434205504,-10.762145853240114,0.536,llama1-7b,awq,4bit,pubmedqa
0.5125628140703518,0.934,0.06599999999999995,0.543,0.26035725843906404,351.8918142328534,-10.727688609312992,0.536,llama1-7b,awq,4bit,pubmedqa
0.5175879396984925,0.93,0.06999999999999995,0.543,0.25954076570272444,352.0378813433944,-10.681745617410154,0.536,llama1-7b,awq,4bit,pubmedqa
0.5226130653266332,0.923,0.07699999999999996,0.541,0.2578141998946667,352.293790786299,-10.601345381580174,0.536,llama1-7b,awq,4bit,pubmedqa
0.5276381909547738,0.921,0.07899999999999996,0.541,0.2569258245527744,352.3669761217709,-10.578373885628768,0.536,llama1-7b,awq,4bit,pubmedqa
0.5326633165829145,0.916,0.08399999999999996,0.539,0.2553057456612587,352.55007256006866,-10.520945145750215,0.536,llama1-7b,awq,4bit,pubmedqa
0.5376884422110553,0.913,0.08699999999999997,0.539,0.2543622539639473,352.6600217862358,-10.486487901823072,0.536,llama1-7b,awq,4bit,pubmedqa
0.542713567839196,0.908,0.09199999999999997,0.537,0.2551044612526894,352.84342297438707,-10.42905916194452,0.536,llama1-7b,awq,4bit,pubmedqa
0.5477386934673367,0.905,0.09499999999999997,0.537,0.2540895016789436,352.95355527870515,-10.394601918017399,0.536,llama1-7b,awq,4bit,pubmedqa
0.5527638190954774,0.902,0.09799999999999998,0.536,0.25484559091925624,353.063756355236,-10.360144674090254,0.536,llama1-7b,awq,4bit,pubmedqa
0.5577889447236181,0.894,0.10599999999999998,0.536,0.2559304523468018,353.3579626026562,-10.268258690284604,0.536,llama1-7b,awq,4bit,pubmedqa
0.5628140703517588,0.891,0.10899999999999999,0.536,0.2560180398821831,353.46841639587785,-10.233801446357461,0.536,llama1-7b,awq,4bit,pubmedqa
0.5678391959798995,0.886,0.11399999999999999,0.536,0.255953528881073,353.6526595801635,-10.176372706478908,0.536,llama1-7b,awq,4bit,pubmedqa
0.5728643216080402,0.881,0.119,0.536,0.25897904962301255,353.83709493581443,-10.118943966600359,0.536,llama1-7b,awq,4bit,pubmedqa
0.577889447236181,0.876,0.124,0.536,0.2597253731191158,354.02172276364865,-10.061515226721806,0.536,llama1-7b,awq,4bit,pubmedqa
0.5829145728643216,0.87,0.13,0.536,0.2606712739765644,354.243530644812,-9.992600738867562,0.536,llama1-7b,awq,4bit,pubmedqa
0.5879396984924623,0.865,0.135,0.536,0.2585314217209816,354.4285829734266,-9.935171998989013,0.536,llama1-7b,awq,4bit,pubmedqa
0.592964824120603,0.859,0.14100000000000001,0.536,0.25836319729685786,354.65090113397787,-9.866257511134746,0.536,llama1-7b,awq,4bit,pubmedqa
0.5979899497487438,0.853,0.14700000000000002,0.536,0.2600412151217461,354.87349837126726,-9.79734302328048,0.536,llama1-7b,awq,4bit,pubmedqa
0.6030150753768845,0.844,0.15600000000000003,0.536,0.25965976041555405,355.2079186466758,-9.693971291499114,0.536,llama1-7b,awq,4bit,pubmedqa
0.6080402010050251,0.838,0.16200000000000003,0.536,0.2612096288204193,355.43121587916124,-9.62505680364485,0.536,llama1-7b,awq,4bit,pubmedqa
0.6130653266331658,0.827,0.17300000000000004,0.536,0.2601322311758995,355.8413241405705,-9.498713575912031,0.536,llama1-7b,awq,4bit,pubmedqa
0.6180904522613065,0.825,0.17500000000000004,0.536,0.26015220710635184,355.9159909789179,-9.475742079960604,0.536,llama1-7b,awq,4bit,pubmedqa
0.6231155778894473,0.82,0.18000000000000005,0.536,0.26007873988151553,356.1027952371869,-9.418313340082074,0.536,llama1-7b,awq,4bit,pubmedqa
0.628140703517588,0.813,0.18700000000000006,0.536,0.25780875092744826,356.36465087265606,-9.337913104252094,0.536,llama1-7b,awq,4bit,pubmedqa
0.6331658291457286,0.804,0.19599999999999995,0.536,0.2574495624005795,356.7018888071366,-9.234541372470684,0.536,llama1-7b,awq,4bit,pubmedqa
0.6381909547738693,0.801,0.19899999999999995,0.536,0.25632412135601046,356.81444333573404,-9.200084128543562,0.536,llama1-7b,awq,4bit,pubmedqa
0.6432160804020101,0.793,0.20699999999999996,0.536,0.2561934830546379,357.11493630252727,-9.108198144737912,0.536,llama1-7b,awq,4bit,pubmedqa
0.6482412060301508,0.789,0.21099999999999997,0.536,0.25696285754442216,357.26537266205366,-9.062255152835075,0.536,llama1-7b,awq,4bit,pubmedqa
0.6532663316582915,0.778,0.22199999999999998,0.536,0.257468560397625,357.67972693275846,-8.935911925102257,0.536,llama1-7b,awq,4bit,pubmedqa
0.6582914572864321,0.771,0.22899999999999998,0.536,0.25743402126431464,357.94390771653985,-8.855511689272276,0.536,llama1-7b,awq,4bit,pubmedqa
0.6633165829145728,0.766,0.23399999999999999,0.536,0.25745537000894547,358.1328473284347,-8.798082949393748,0.536,llama1-7b,awq,4bit,pubmedqa
0.6683417085427136,0.764,0.236,0.536,0.25749131363630295,358.2084790344615,-8.77511145344232,0.536,llama1-7b,awq,4bit,pubmedqa
0.6733668341708543,0.76,0.24,0.536,0.25627088129520414,358.3598383199657,-8.729168461539484,0.536,llama1-7b,awq,4bit,pubmedqa
0.678391959798995,0.756,0.244,0.536,0.25627446991205216,358.51132557183087,-8.683225469636646,0.536,llama1-7b,awq,4bit,pubmedqa
0.6834170854271356,0.747,0.253,0.536,0.25603771179914475,358.8526406069117,-8.579853737855236,0.536,llama1-7b,awq,4bit,pubmedqa
0.6884422110552764,0.746,0.254,0.536,0.2560518109202385,358.8906046204337,-8.568367989879544,0.536,llama1-7b,awq,4bit,pubmedqa
0.6934673366834171,0.74,0.26,0.536,0.2557715227007866,359.11855749406413,-8.499453502025279,0.536,llama1-7b,awq,4bit,pubmedqa
0.6984924623115578,0.736,0.264,0.536,0.25572735804319385,359.27068701851664,-8.453510510122442,0.536,llama1-7b,awq,4bit,pubmedqa
0.7035175879396985,0.731,0.269,0.536,0.25552294513583185,359.46103027164736,-8.39608177024389,0.536,llama1-7b,awq,4bit,pubmedqa
0.7085427135678392,0.723,0.277,0.536,0.2549676156044006,359.7659993466354,-8.304195786438196,0.536,llama1-7b,awq,4bit,pubmedqa
0.7135678391959799,0.717,0.28300000000000003,0.536,0.25486293748021127,359.99506596239036,-8.235281298583953,0.536,llama1-7b,awq,4bit,pubmedqa
0.7185929648241206,0.707,0.29300000000000004,0.536,0.254644056558609,360.37749256174135,-8.120423818826872,0.536,llama1-7b,awq,4bit,pubmedqa
0.7236180904522613,0.697,0.30300000000000005,0.536,0.2543947347998619,360.7607325368635,-8.005566339069748,0.536,llama1-7b,awq,4bit,pubmedqa
0.7286432160804021,0.69,0.31000000000000005,0.536,0.2541949285566807,361.0294858686526,-7.925166103239789,0.536,llama1-7b,awq,4bit,pubmedqa
0.7336683417085427,0.683,0.31699999999999995,0.536,0.25384927755594255,361.29863992144277,-7.844765867409831,0.536,llama1-7b,awq,4bit,pubmedqa
0.7386934673366834,0.675,0.32499999999999996,0.536,0.253823027074337,361.60673638264825,-7.752879883604136,0.536,llama1-7b,awq,4bit,pubmedqa
0.7437185929648241,0.669,0.33099999999999996,0.536,0.2536553196907044,361.8381537803163,-7.68396539574987,0.536,llama1-7b,awq,4bit,pubmedqa
0.7487437185929648,0.659,0.34099999999999997,0.536,0.253846351981163,362.2245083688067,-7.56910791599279,0.536,llama1-7b,awq,4bit,pubmedqa
0.7537688442211056,0.647,0.353,0.536,0.2534022287428379,362.6892243570874,-7.431278940284258,0.536,llama1-7b,awq,4bit,pubmedqa
0.7587939698492463,0.636,0.364,0.536,0.253035856962204,363.1162627497289,-7.304935712551464,0.536,llama1-7b,awq,4bit,pubmedqa
0.7638190954773869,0.629,0.371,0.536,0.2527495775818825,363.3885384283222,-7.224535476721483,0.536,llama1-7b,awq,4bit,pubmedqa
0.7688442211055276,0.622,0.378,0.536,0.2525743790268898,363.661222734578,-7.144135240891525,0.536,llama1-7b,awq,4bit,pubmedqa
0.7738693467336684,0.614,0.386,0.536,0.25234993183612825,363.97336348318294,-7.05224925708583,0.536,llama1-7b,awq,4bit,pubmedqa
0.7788944723618091,0.604,0.396,0.536,0.2516218744218349,364.3642937511985,-6.9373917773287275,0.536,llama1-7b,awq,4bit,pubmedqa
0.7839195979899498,0.595,0.405,0.536,0.2514401592314243,364.7168496882333,-6.834020045547362,0.536,llama1-7b,awq,4bit,pubmedqa
0.7889447236180904,0.581,0.41900000000000004,0.536,0.25081444653868673,365.266628177028,-6.673219573887423,0.536,llama1-7b,awq,4bit,pubmedqa
0.7939698492462312,0.573,0.42700000000000005,0.536,0.25063774260878563,365.5815321320725,-6.581333590081728,0.536,llama1-7b,awq,4bit,pubmedqa
0.7989949748743719,0.555,0.44499999999999995,0.536,0.250267519146204,366.29205512518274,-6.374590126518953,0.536,llama1-7b,awq,4bit,pubmedqa
0.8040201005025126,0.546,0.45399999999999996,0.536,0.24992475765943528,366.6483533275371,-6.2712183947375655,0.536,llama1-7b,awq,4bit,pubmedqa
0.8090452261306533,0.539,0.46099999999999997,0.536,0.24980875468254088,366.9259537320287,-6.190818158907607,0.536,llama1-7b,awq,4bit,pubmedqa
0.8140703517587939,0.534,0.46599999999999997,0.536,0.24959088242053984,367.1244972372057,-6.133389419029056,0.536,llama1-7b,awq,4bit,pubmedqa
0.8190954773869347,0.518,0.482,0.536,0.24915202167630196,367.7612828418969,-5.949617451417688,0.536,llama1-7b,awq,4bit,pubmedqa
0.8241206030150754,0.502,0.498,0.536,0.2487609964609146,368.40028132245544,-5.76584548380632,0.536,llama1-7b,awq,4bit,pubmedqa
0.8291457286432161,0.488,0.512,0.536,0.24850671008229258,368.9612293244139,-5.6050450121464035,0.536,llama1-7b,awq,4bit,pubmedqa
