threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.01,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.02,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.03,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.04,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.05,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.06,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.07,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.08,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.09,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.1,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.11,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.12,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.13,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.14,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.15,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.16,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.17,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.18,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.19,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.2,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.21,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.22,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.23,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.24,1.0,0.0,0.67515606,0.07067093866986458,28.76105308979196,-11.600136855521104,0.6853544,llama1-7b,awq,4bit,triviaqa
0.25,0.9998885421310745,0.00011145786892552412,0.67515606,0.07066460569462657,28.761386300489782,-11.598843928987957,0.6853544,llama1-7b,awq,4bit,triviaqa
0.26,0.9993869817209095,0.0006130182790905492,0.6752675,0.07081008239969365,28.762885844180023,-11.593025759588738,0.6853544,llama1-7b,awq,4bit,triviaqa
0.27,0.9991640659830584,0.0008359340169415974,0.6752675,0.07073011638275278,28.76355235823462,-11.59043990652242,0.6853544,llama1-7b,awq,4bit,triviaqa
0.28,0.9987182345073562,0.001281765492643805,0.675379,0.07080340020713984,28.764885479017735,-11.585268200389788,0.6853544,llama1-7b,awq,4bit,triviaqa
0.29,0.9980494872938029,0.0019505127061970606,0.675379,0.07077738599676507,28.766885391909437,-11.577510641190791,0.6853544,llama1-7b,awq,4bit,triviaqa
0.3,0.9964333481943826,0.003566651805617438,0.6754347,0.07074634834619115,28.77171966302175,-11.558763206459965,0.6853544,llama1-7b,awq,4bit,triviaqa
0.31,0.9950958537672759,0.00490414623272406,0.67576903,0.07108937241253287,28.775721668026403,-11.543248088062041,0.6853544,llama1-7b,awq,4bit,triviaqa
0.32,0.9918078466339724,0.008192153366027632,0.6759362,0.07080374645485284,28.78556466451843,-11.505106755333783,0.6853544,llama1-7b,awq,4bit,triviaqa
0.33,0.9893000445831476,0.010699955416852425,0.67615914,0.07044751657155597,28.79307656248616,-11.476015908337667,0.6853544,llama1-7b,awq,4bit,triviaqa
0.34,0.9850089166295141,0.014991083370485936,0.6764935,0.07026119705919066,28.80593935252601,-11.42623823681095,0.6853544,llama1-7b,awq,4bit,triviaqa
0.35000000000000003,0.9795474810521623,0.020452518947837728,0.67638206,0.06950799373115113,28.82232680696786,-11.36288483668606,0.6853544,llama1-7b,awq,4bit,triviaqa
0.36,0.9734172982612572,0.026582701738742776,0.676605,0.0691286118363117,28.840743112484276,-11.2917738773622,0.6853544,llama1-7b,awq,4bit,triviaqa
0.37,0.9661725367810967,0.033827463218903286,0.676605,0.06899852153516696,28.86253820218526,-11.20773365270673,0.6853544,llama1-7b,awq,4bit,triviaqa
0.38,0.9597079803834151,0.040292019616584906,0.6769951,0.06879575193639159,28.882013958188605,-11.132743913783383,0.6853544,llama1-7b,awq,4bit,triviaqa
0.39,0.9519616584930896,0.04803834150691044,0.67744094,0.0687518168807136,28.905385931811235,-11.042885519728696,0.6853544,llama1-7b,awq,4bit,triviaqa
0.4,0.9420976370931787,0.05790236290682127,0.6775524,0.06844120084860736,28.935202173576645,-10.928461521543941,0.6853544,llama1-7b,awq,4bit,triviaqa
0.41000000000000003,0.934184128399465,0.06581587160053504,0.6777753,0.06829175721261047,28.959167054378188,-10.8366637376895,0.6853544,llama1-7b,awq,4bit,triviaqa
0.42,0.9218123049487293,0.07818769505127066,0.67799824,0.06779154559503536,28.996712922554835,-10.693148892508631,0.6853544,llama1-7b,awq,4bit,triviaqa
0.43,0.9094962104324565,0.09050378956754346,0.678444,0.06801129866439586,29.034186490572438,-10.550280510594323,0.6853544,llama1-7b,awq,4bit,triviaqa
0.44,0.8946165849308961,0.10538341506910387,0.678054,0.0666723696633715,29.079589384447903,-10.377674818417336,0.6853544,llama1-7b,awq,4bit,triviaqa
0.45,0.8785666518056174,0.12143334819438256,0.677218,0.06482345131036961,29.1287227530975,-10.191493397642137,0.6853544,llama1-7b,awq,4bit,triviaqa
0.46,0.8614021399910834,0.1385978600089166,0.67766386,0.06467058674842982,29.18145222244625,-9.992382711535331,0.6853544,llama1-7b,awq,4bit,triviaqa
0.47000000000000003,0.8417855550601873,0.15821444493981274,0.67783105,0.0648770546220904,29.241948717918195,-9.764827641698993,0.6853544,llama1-7b,awq,4bit,triviaqa
0.48,0.823673651359786,0.17632634864021401,0.67827684,0.06423597256360285,29.298027994575556,-9.55472708006031,0.6853544,llama1-7b,awq,4bit,triviaqa
0.49,0.8034997770842621,0.19650022291573788,0.67866695,0.06447231527243509,29.360745442711988,-9.320707377558147,0.6853544,llama1-7b,awq,4bit,triviaqa
0.5,0.7824899687917967,0.21751003120820334,0.67849976,0.06426581855310269,29.426347752761394,-9.076990726057277,0.6853544,llama1-7b,awq,4bit,triviaqa
0.51,0.7640436914846188,0.23595630851538119,0.6789456,0.06374044218600938,29.484187696991143,-8.863011384819153,0.6853544,llama1-7b,awq,4bit,triviaqa
0.52,0.7429224253232278,0.25707757467677217,0.6789456,0.06305893974788106,29.550695165975576,-8.618001806785113,0.6853544,llama1-7b,awq,4bit,triviaqa
0.53,0.7201850200624164,0.27981497993758364,0.6796701,0.06322279251610334,29.622627770894926,-8.35424479402025,0.6853544,llama1-7b,awq,4bit,triviaqa
0.54,0.6990637539010254,0.3009362460989746,0.68078464,0.06323564957579862,29.68976197562689,-8.109235215986232,0.6853544,llama1-7b,awq,4bit,triviaqa
0.55,0.6773851983950067,0.32261480160499334,0.68078464,0.0627113394522263,29.758984712953332,-7.85776100528639,0.6853544,llama1-7b,awq,4bit,triviaqa
0.56,0.656208203299153,0.34379179670084703,0.6814534,0.063822786356528,29.826918282138276,-7.6121049639857885,0.6853544,llama1-7b,awq,4bit,triviaqa
0.5700000000000001,0.6318546589389211,0.3681453410610789,0.68100756,0.06378970147042842,29.90542632678995,-7.329600516490098,0.6853544,llama1-7b,awq,4bit,triviaqa
0.58,0.6068880962995987,0.3931119037004013,0.68150914,0.06326015357873135,29.98634072806963,-7.039984973062041,0.6853544,llama1-7b,awq,4bit,triviaqa
0.59,0.5835934016941596,0.41640659830584037,0.6818435,0.06375236093260538,30.062232610559988,-6.769763327631351,0.6853544,llama1-7b,awq,4bit,triviaqa
0.6,0.5613575568435132,0.4386424431564868,0.68245655,0.06365228667058054,30.13503408162766,-6.511824484265727,0.6853544,llama1-7b,awq,4bit,triviaqa
0.61,0.5381743201069995,0.4618256798930005,0.68295807,0.06400448696731831,30.211313780624213,-6.242895765368228,0.6853544,llama1-7b,awq,4bit,triviaqa
0.62,0.5121489077128846,0.48785109228711543,0.68312526,0.06376720910100495,30.297406472477924,-5.940997419875105,0.6853544,llama1-7b,awq,4bit,triviaqa
0.63,0.4877396344181899,0.5122603655818101,0.6826795,0.06411345172349599,30.378600047019283,-5.657846509112829,0.6853544,llama1-7b,awq,4bit,triviaqa
0.64,0.4628288007133304,0.5371711992866697,0.682568,0.06520260584624123,30.461911897030213,-5.3688774289513574,0.6853544,llama1-7b,awq,4bit,triviaqa
0.65,0.4416518056174766,0.5583481943825235,0.6821779,0.06625890526364173,30.533096480115596,-5.123221387650734,0.6853544,llama1-7b,awq,4bit,triviaqa
0.66,0.4145675434685689,0.5854324565314311,0.6827909,0.06876008296273299,30.624624112356585,-4.80904024009261,0.6853544,llama1-7b,awq,4bit,triviaqa
0.67,0.38831921533660274,0.6116807846633973,0.68295807,0.07000789776896187,30.713851936312214,-4.504556041533148,0.6853544,llama1-7b,awq,4bit,triviaqa
0.68,0.3615693267944717,0.6384306732055283,0.6828466,0.0722574464199509,30.805321289457414,-4.194253673574511,0.6853544,llama1-7b,awq,4bit,triviaqa
0.6900000000000001,0.33247882300490417,0.6675211769950958,0.6832367,0.07360901050120126,30.905414624890717,-3.85679984841949,0.6853544,llama1-7b,awq,4bit,triviaqa
0.7000000000000001,0.3040013374944271,0.695998662505573,0.6834039,0.07623262537001393,31.004030759345984,-3.5264571191968352,0.6853544,llama1-7b,awq,4bit,triviaqa
0.71,0.2787004012483281,0.7212995987516719,0.6837383,0.0763651736568937,31.092176122729644,-3.2329627961692475,0.6853544,llama1-7b,awq,4bit,triviaqa
0.72,0.2508359340169416,0.7491640659830584,0.6846857,0.0767390516653451,31.189834281556163,-2.9097311628789813,0.6853544,llama1-7b,awq,4bit,triviaqa
0.73,0.22302719572001783,0.7769728042799822,0.6849086,0.07794822629074462,31.287910681843456,-2.5871459928553,0.6853544,llama1-7b,awq,4bit,triviaqa
0.74,0.19622157824342398,0.803778421756576,0.68524295,0.07804687594728336,31.38303486056731,-2.276197161630056,0.6853544,llama1-7b,awq,4bit,triviaqa
0.75,0.1689144003566652,0.8310855996433348,0.68541014,0.07902769554893034,31.48053550182802,-1.959430161005593,0.6853544,llama1-7b,awq,4bit,triviaqa
0.76,0.14294471689701294,0.8570552831029871,0.6855216,0.07955255553398713,31.573824312762817,-1.6581782787790766,0.6853544,llama1-7b,awq,4bit,triviaqa
0.77,0.12109897458760588,0.8789010254123941,0.6852987,0.08018099517460599,31.652728262947235,-1.404764678279502,0.6853544,llama1-7b,awq,4bit,triviaqa
0.78,0.09813865358894337,0.9018613464110566,0.68463,0.0814484663663089,31.73608410542382,-1.1384218124483203,0.6853544,llama1-7b,awq,4bit,triviaqa
0.79,0.0788564422648239,0.9211435577351761,0.6850201,0.08152145801865252,31.806426744872724,-0.9147455222114464,0.6853544,llama1-7b,awq,4bit,triviaqa
0.8,0.060410164957646006,0.9395898350423539,0.68496436,0.0823817580450049,31.874012310505627,-0.7007661809733001,0.6853544,llama1-7b,awq,4bit,triviaqa
0.81,0.04502897904592064,0.9549710209540794,0.68524295,0.08256634968369071,31.93058763723546,-0.5223423193970733,0.6853544,llama1-7b,awq,4bit,triviaqa
0.8200000000000001,0.03193267944716897,0.9680673205528311,0.6849086,0.08339256758880945,31.978917200370823,-0.3704234517506455,0.6853544,llama1-7b,awq,4bit,triviaqa
0.8300000000000001,0.02190147124386982,0.9780985287561301,0.68513155,0.08346570601061525,32.016034651246564,-0.2540600637661594,0.6853544,llama1-7b,awq,4bit,triviaqa
