threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.01,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.02,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.03,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.04,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.05,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.06,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.07,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.08,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.09,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.1,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.11,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.12,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.13,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.14,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.15,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.16,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.17,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.18,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.19,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.2,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.21,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.22,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.23,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.24,1.0,0.0,0.6616139,0.0749640328925048,25.712568298936926,-24.831460770972313,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.25,0.9998885421310745,0.00011145786892552412,0.6616139,0.0749603955077636,25.71313838974468,-24.82869310927247,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.26,0.9998885421310745,0.00011145786892552412,0.6616139,0.0749603955077636,25.71313838974468,-24.82869310927247,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.27,0.9998885421310745,0.00011145786892552412,0.6616139,0.0749603955077636,25.71313838974468,-24.82869310927247,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.28,0.999777084262149,0.00022291573785104823,0.6616139,0.07496028173610242,25.713708505832734,-24.82592544757265,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.29,0.9995541685242978,0.0004458314757022075,0.6616139,0.07496089991173784,25.714848813856477,-24.820390124172942,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.3,0.9990526081141329,0.0009473918858671215,0.6618368,0.07515429014633183,25.717414876728583,-24.80793564652368,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.31,0.9983838609005796,0.0016161390994203773,0.66194826,0.07506813803323134,25.720837090644785,-24.791329676324626,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.32,0.9969349086045475,0.003065091395452524,0.6620597,0.07510323301156982,25.728255012870935,-24.755350074226712,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.33,0.9955416852429781,0.004458314757021853,0.6620597,0.07476983306081604,25.735391666509777,-24.720754302978687,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.34,0.9928109674543023,0.007189032545697693,0.6620597,0.07454196144122924,25.749390998775414,-24.65294659133257,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.35000000000000003,0.9906375390102541,0.009362460989745913,0.66228265,0.07468579519860616,25.76054421443545,-24.59897718818569,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.36,0.9878510922871154,0.012148907712884571,0.66228265,0.07475601929575006,25.774857350690297,-24.52978564568966,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.37,0.9855662059741418,0.014433794025858204,0.66228265,0.07456974610619868,25.78660599643807,-24.473048580842914,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.38,0.9818880962995987,0.018111903700401277,0.6621712,0.07426845739050418,25.805540964852124,-24.38171574474819,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.39,0.9772625947391886,0.02273740526081136,0.6621712,0.07395985270790155,25.829392632616095,-24.266857784204788,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.4,0.9735844850646456,0.026415514935354434,0.6623941,0.0739468971480762,25.848390512308796,-24.175524948110017,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.41000000000000003,0.9684016941596076,0.03159830584039236,0.6627285,0.0742924568881507,25.875207734926363,-24.046828679067445,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.42,0.9624944271065538,0.03750557289344625,0.6627842,0.07421303595774575,25.90584153772527,-23.900142608975862,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.43,0.957255907267053,0.04274409273294699,0.6627842,0.07397828320879198,25.933068109213664,-23.770062509083356,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.44,0.9496767721801159,0.050323227819884075,0.6627285,0.07379637347684606,25.972561196443973,-23.581861513494175,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.45,0.9388096299598752,0.06119037004012484,0.66356444,0.0744697652787063,26.029397654419192,-23.31201449775968,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.46,0.9291685242978154,0.07083147570218462,0.66373163,0.0749302014137186,26.080030439022703,-23.07261176072346,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.47000000000000003,0.9149576460098083,0.08504235399019167,0.6645118,0.0752994156526871,26.1550227736581,-22.71973489399375,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.48,0.9030316540347748,0.09696834596522519,0.66479045,0.07540652012710745,26.218291159597992,-22.423595092110737,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.49,0.8918858671422203,0.10811413285777971,0.66445607,0.07528014860406179,26.277697826899974,-22.146828922126694,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.5,0.8764489522960321,0.12355104770396785,0.6648462,0.07579154998555653,26.360422096380532,-21.76350777669871,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.51,0.8639099420419082,0.13609005795809181,0.6649019,0.07585034878842278,26.428001241558793,-21.452145835466617,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.52,0.8492532322781988,0.15074676772180118,0.6649019,0.07612760921062448,26.50743429509087,-21.088198321937533,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.53,0.8355439144003567,0.1644560855996433,0.66534775,0.07638523918819438,26.58216630602368,-20.747775932857103,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.54,0.8220017833259028,0.1779982166740972,0.66568214,0.07668658448578362,26.65640181111729,-20.41150503632645,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.55,0.8072893446277307,0.19271065537226928,0.666128,0.07762264680055918,26.737524089407916,-20.046173691947434,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.56,0.7930784663397236,0.20692153366027644,0.66674095,0.07891166093250603,26.816351007665148,-19.693296825217743,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.5700000000000001,0.7774186357556844,0.22258136424431563,0.66713107,0.07946070842361855,26.9037552277305,-19.304440356390096,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.58,0.7604213107445386,0.23957868925546144,0.66802275,0.080641644169351,26.999271703261567,-18.882371947164355,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.59,0.7401359786000892,0.2598640213999108,0.6687472,0.08159201441401621,27.11415662445099,-18.37865751779333,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.6,0.7214667855550602,0.27853321444493984,0.6687472,0.08185012022558995,27.220755981939917,-17.91507418306999,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.61,0.7038007133303611,0.2961992866696389,0.6696946,0.08343316183802915,27.322402340338794,-17.476399803645194,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.62,0.6827351761034329,0.31726482389656707,0.6704748,0.08580442451063514,27.444605142948838,-16.953311742375288,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.63,0.6627842175657601,0.3372157824342399,0.67170084,0.0874765759555692,27.561354383975225,-16.457900298103745,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.64,0.6411056620597414,0.3588943379402586,0.67175657,0.08905465488176341,27.689344469130745,-15.919590097484715,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.65,0.6190370040124833,0.3809629959875167,0.67209095,0.09069141739754343,27.820864523197944,-15.371593080916224,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.66,0.5956865804725814,0.4043134195274186,0.67209095,0.09169659012869646,27.961390595478576,-14.79176795479955,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.67,0.569493981275078,0.430506018724922,0.67248106,0.09232876667561032,28.120720230425214,-14.14136745533694,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.68,0.541740971912617,0.45825902808738295,0.6735956,0.09205325325013429,28.291535147054134,-13.452219692076572,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.6900000000000001,0.5161613909942042,0.4838386090057958,0.67404145,0.08989386760758016,28.45082110853332,-12.817041331963086,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.7000000000000001,0.4914177440927329,0.508582255907267,0.6737628,0.08943897283773469,28.60661763956404,-12.20262043459841,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.71,0.4627173428444048,0.5372826571555952,0.67476594,0.08723957174612484,28.78947861716206,-11.489947546889368,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.72,0.4352987070887205,0.5647012929112796,0.6754347,0.08669752774430449,28.9663699166375,-10.809102768728529,0.6853544,llama1-7b,nf4,4bit,triviaqa
0.73,0.403979045920642,0.596020954079358,0.67549044,0.0866486291254518,29.171107134586524,-10.031389831073234,0.6853544,llama1-7b,nf4,4bit,triviaqa
