threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.005025125628140704,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.010050251256281407,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.01507537688442211,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.020100502512562814,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.02512562814070352,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.03015075376884422,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.035175879396984924,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.04020100502512563,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.04522613065326633,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.05025125628140704,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.05527638190954774,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.06030150753768844,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.06532663316582915,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.07035175879396985,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.07537688442211056,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.08040201005025126,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.08542713567839195,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.09045226130653267,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.09547738693467336,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.10050251256281408,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.10552763819095477,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.11055276381909548,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.11557788944723618,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.12060301507537688,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.12562814070351758,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.1306532663316583,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.135678391959799,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.1407035175879397,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.1457286432160804,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.15075376884422112,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.15577889447236182,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.16080402010050251,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.1658291457286432,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.1708542713567839,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.17587939698492464,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.18090452261306533,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.18592964824120603,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.19095477386934673,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.19597989949748745,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.20100502512562815,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.20603015075376885,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.21105527638190955,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.21608040201005024,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.22110552763819097,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.22613065326633167,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.23115577889447236,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.23618090452261306,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.24120603015075376,1.0,0.0,0.7671645,0.16246317513702282,18.80365065838734,-108.96450272865646,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.24623115577889448,0.9999442710655372,5.572893446281757e-05,0.7671645,0.1624631900348623,18.804197105402015,-108.95843025302514,0.7671088,llama2-13b,8bit,gptq,triviaqa
0.25125628140703515,0.9998328131966117,0.0001671868033883417,0.7671645,0.16246324539104848,18.805290094717662,-108.94628530176243,0.7671088,llama2-13b,8bit,gptq,triviaqa
