threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.01,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.02,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.03,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.04,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.05,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.06,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.07,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.08,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.09,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.1,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.11,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.12,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.13,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.14,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.15,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.16,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
0.17,1.0,0.0,0.8259311,0.27929980438547625,788.6075742974367,-182.13279113229297,0.82931685,mistral-7b,4bit,nf4,hellaswag
