threshold,frac_quantized,frac_escalated,effective_accuracy,effective_ece,effective_tps,cost_savings_pct,fp16_accuracy,model,quant_method,precision,dataset
0.0,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.01,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.02,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.03,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.04,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.05,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.06,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.07,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.08,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.09,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.1,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.11,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.12,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.13,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.14,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.15,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
0.16,1.0,0.0,0.6777753,0.15504398083665571,24.130612593554687,-114.46698795285806,0.7005127,mistral-7b,8bit,gptq,triviaqa
